Species,DISEASE,AGENT,TYPE,SYNDROME,MEASURES,Source,Source_1,souce,Soure
Paralichthys olivaceus,Vibriosis,Vibrio harveyi,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Sebastes schlegelii,Vibriosis,Vibrio harveyi,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Seriola quinqueradiata,Vibriosis,Vibrio harveyi,Bacteria,NA,NA,NA,NA,NA,NA
Larimichthys crocea,Vibriosis,Vibrio harveyi,Bacteria,NA,NA,NA,NA,NA,NA
Paralichthys olivaceus,Vibriosis,Vibrio ichthyoenteri,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Dicentrarchus labrax,Vibriosis,Vibrio ordali,Bacteria,Anorexia; darkening; skin ulcers; abdominal distension; splenomegaly; visceral petechiation; necrotic enteritis,Fry vaccination; antibiotic treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Oncorhynchus kisutch,Vibriosis,Vibrio ordali,Bacteria,Reduced appetite; severe anaemia; swollen spleen & soft kidney; focal muscle lesions,Antibiotics; vaccination,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C12,NA,NA,NA
Rachycentron canadum,Vibriosis,Vibrio parahaemolyticus,Bacteria,Swollen abdomen; skin ulcers; protruded eyes; lethargy; darkening of skin; ascites in peritoneal cavity,Administer antibiotics; remove diseased fish; disinfect system; reduce stress,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D18,NA,NA,NA
Lateolabrax japonicus,Vibriosis,Vibrio ponticus ,Bacteria,NA,NA,https://www.fishbase.se/summary/4590,NA,NA,NA
Pagrus auratus,Vibriosis,Vibrio sp.,Bacteria,NA,NA,https://www.fishbase.de/summary/Pagrus-major.html,NA,NA,NA
Rachycentron canadum,Vibriosis,Vibrio vulnificus,Bacteria,Swollen abdomen; skin ulcers; protruded eyes; lethargy; darkening of skin; ascites in peritoneal cavity,Administer antibiotics; remove diseased fish; disinfect system; reduce stress,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D18,NA,NA,NA
Dicentrarchus labrax,Vibriosis,Vibrio sp.,Bacteria,Anorexia; darkening; skin ulcers; abdominal distension; splenomegaly; visceral petechiation; necrotic enteritis,Fry vaccination; antibiotic treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Sciaenops ocellatus,Vibriosis,Vibrio sp.,Bacteria,Swollen abdomen; skin ulcers; haemorrhages on body; protruded eyeball; lethargy; internal lesions,Antibacterials administered via the water or food; removal & treatment of diseased fish; disinfection of culture systems; reduce stress,http://www.fao.org/fishery/culturedspecies/Sciaenops_ocellatus/en#tcNA00D13,NA,NA,NA
Lates calcarifer,Vibriosis,Vibrio sp.,Bacteria,"Marine fish with darkening; lethargy; anorexia; reddened ulcerations on body; reddened abdominal fluid; associated with nursery systems, poor environment & skin trauma",Improved environment; antibiotic treatment,NA,NA,NA,NA
Salmo salar,Winter sores,Moritella viscose,Bacteria,Ulcers,Antibiotics; vaccination,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A6,NA,NA,NA
Thunnus maccoyii,Flatworm infection,Callitetrarhynchus gracilis,Cestoda,NA,NA,NA,NA,NA,NA
Thunnus thynnus,Scolex infestation,Callitetrarhynchus gracilis,Cestoda,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Scolex infestation,Eutetrarchynchus sp.,Cestoda,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus orientalis,Scolex infestation,Grillotia sp.,Cestoda,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Scolex infestation,Hepatoxylon trichiuri,Cestoda,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus thynnus,Scolex infestation,Lacistorhynchus tenuis,Cestoda,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Scolex infestation,Pelichnibothrium speciosum,Cestoda,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Scolex infestation,Pelichnibothrium speciosum,Cestoda,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Pagrus auratus,Scolex infestation,Phyllobothriidae,Cestoda,NA,NA,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.",NA,NA,NA
Chanos chanos,Scolex infestation,Scolex pleuronectis,Cestoda,Infestation occurs commonly in the intestine,None stated,http://www.fao.org/fishery/culturedspecies/Chanos_chanos/en#tcNA00A3,NA,NA,NA
Thunnus thynnus,Scolex infestation,Tentacularia coryphaenae,Cestoda,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Scolex infestation,Tetraphyllidean,Cestoda,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Salmo salar,Tapeworms,Diphillobothrium sp.,Cestoda,Reduced growth; reduced condition factor; aesthetically unacceptable to consumers,Fenbendazole/praziquantel in feed for Eubothrium; avoidance of early hosts,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A12,NA,NA,NA
Salmo salar,Tapeworms,Eubothrium sp.,Cestoda,Reduced growth; reduced condition factor; aesthetically unacceptable to consumers,Fenbendazole/praziquantel in feed for Eubothrium; avoidance of early hosts,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A12,NA,NA,NA
Sciaenops ocellatus,Cryptocaryoniasis,Cryptocaryon irritans,Ciliophora,NA,NA,https://www.researchgate.net/publication/265966055_Ectoparasites_of_Red_Drum_Sciaenops_ocellatus_in_Pen_Culture_System_at_Setiu_Lagoon,NA,NA,NA
Dicentrarchus labrax,Cryptocaryoniasis,Cryptocaryon irritans,Ciliophora,Skin lesions; white spot or multifocal white patches (marine white spot disease),Freshwater treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Larimichthys crocea,Cryptocaryoniasis,Cryptocaryon irritans,Ciliophora,"Zuo, R., Ai, Q., Mai, K., Xu, W., Wang, J., Xu, H., Liufu, Z., Zhang, Y., 2012. Effects of dietary n-3 highly unsaturated fatty acids on growth, nonspecific immunity, expression of some immune related genes and disease resistance of large yellow croaker (Larmichthys crocea) following natural infestation of parasites (Cryptocaryon irritans). Fish & Shellfish Immunology. 32, 249-258.",NA,NA,NA,NA,NA
Rachycentron canadum,Cryptocaryoniasis,Cryptocaryon irritans,Ciliophora,"White foci visible on skin; interconnected, larger masses of whitish spots",Prolonged copper immersion; freshwater dips; formalin treatment; decrease salinity to 15 €° or less for 2 weeks; decrease system temperature to <19 ºC,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D10,NA,NA,NA
Lates calcarifer,Cryptocaryoniasis,Cryptocaryon irritans,Ciliophora,'Flashing'; rubbing skin on surfaces; anorexia; swimming at water surface; white spots on skin & fins,"Treatment with salinity reversal, formalin baths or combinations; treatment in copper bath for marine fish",NA,NA,NA,NA
Sciaenops ocellatus,Cryptocaryoniasis,Cryptocaryon irritans,Ciliophora,White dusting of the skin; respiratory distress; scratching; sloughing of skin; reduced feeding,"Reduced salinity (‰¤16€° for ~14 days, ‰¤10€° for 3 hours); low temperature <19 °C; copper sulphate - not approved for food fish; formalin dip (30 min, 2-4 ml formalin in 10 litres) - not approved for food fish",http://www.fao.org/fishery/culturedspecies/Sciaenops_ocellatus/en#tcNA00D16,NA,NA,NA
Salmo salar,Freshwater protozoa,Ichthyophthirius multifilis,Ciliophora,Irritation response; heavy and laboured operculum movements; flashing and rubbing; skin cloudiness caused by excess mucus; focal redness; lethargy,Formalin baths,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A15,NA,NA,NA
Sparus aurata,NA,Brooklynella hostilis,Ciliophora,NA,NA,https://link.springer.com/content/pdf/10.1007%2Fs10530-008-9269-3.pdf,NA,NA,NA
Lates calcarifer,Red sore disease,Epistylis sp.,Ciliophora,Skin ulcers in freshwater pond fish; raised fluffy surface & secondary bacterial infections,Reduce organic levels in water; treatment with formalin bath,NA,NA,NA,NA
Dicentrarchus labrax,Scuticociliatosis,Philasteridis dicentrarchi,Ciliophora,Skin and gill lesions; depigmentation; ulcerations; skin area haemorrhages,Freshwater treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Scophthalmus maximus,Scuticociliatosis,Philasteridis dicentrarchi,Ciliophora,Cutaneous ulcers; darkened skin; swimming behaviour alterations; bulging eyes; abdominal distension,Density reduction,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,NA,NA,NA
Lateolabrax japonicus,Scuticociliatosis,Scuticociliatida,Ciliophora,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Pagrus auratus,Scuticociliatosis,Scuticociliatida,Ciliophora,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Paralichthys olivaceus,Scuticociliatosis,Scuticociliatida,Ciliophora,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Sebastes schlegelii,Scuticociliatosis,Scuticociliatida,Ciliophora,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Seriola quinqueradiata,Scuticociliatosis,Scuticociliatida,Ciliophora,NA,NA,NA,NA,NA,NA
Dicentrarchus labrax,Scuticociliatosis,Tetrahynema sp.,Ciliophora,Skin and gill lesions; depigmentation; ulcerations; skin area haemorrhages,Freshwater treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Scuticociliatosis,Uronema sp.,Ciliophora,Skin and gill lesions; depigmentation; ulcerations; skin area haemorrhages,Freshwater treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Rachycentron canadum,"Sessile, colonial, ciliate infestation",Epistylis sp.,Ciliophora,"Reported during larval stage; white or reddish masses on the skin/fins, gill arches, or in mouth; more common in polluted waters; often associated with gram-negative bacterial condition called red sore disease",Formalin treatment; freshwater bath/dip; antibiotics for severe bacterial infection,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D11,NA,NA,NA
Lates calcarifer,Trichodiniasis,Trichodina sp.,Ciliophora,"Swimming at water surface; rapid opercular movements; excess gill mucus; typically follows cold water temperatures, high organic loads & high stocking densities",Increase water exchange; treatment with salt or formalin bath,NA,NA,NA,NA
Gadus morhua,Trichodinidosis,Trichodina sp.,Ciliophora,Respiratory problems; mucus secretion; itching,Bath treatment (formaldehyde),NA,NA,http://www.fao.org/fishery/culturedspecies/Gadus_morhua/en,NA
Scophthalmus maximus,Trichodinosis,Trichodina sp.,Ciliophora,Flashing; skin darkening; lethargy; breathing difficulties; rubbing gill cover & body against rearing surfaces,Disinfectant bath,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,NA,NA,NA
Salmo salar,Trichodinosis,Trichodina sp.,Ciliophora,Irritation response; heavy and laboured operculum movements; flashing and rubbing; skin cloudiness caused by excess mucus; focal redness; lethargy,Formalin baths,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A14,NA,NA,NA
Rachycentron canadum,Trichodinosis,Trichodina sp.,Ciliophora,Reported during nursery stage; found on skin & gills; loss of appetite; lethargy; chronic low level mortality; often leads to secondary infections,Formalin treatment; freshwater bath; copper treatment; Praziquantel bath or prolonged immersion,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D12,NA,NA,NA
Lateolabrax japonicus,Trichodinosis,Trichodina sp.,Ciliophora,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Pagrus auratus,Trichodinosis,Trichodina sp.,Ciliophora,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Paralichthys olivaceus,Trichodinosis,Trichodina sp.,Ciliophora,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Sebastes schlegelii,Trichodinosis,Trichodina sp.,Ciliophora,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Seriola quinqueradiata,Trichodinosis,Trichodina sp.,Ciliophora,NA,NA,NA,NA,NA,NA
Chanos chanos,Trichodinosis,Trichodina sp.,Ciliophora,"Slime covers skin like fog, fins clamped and denuded of tissue",250 ml/litre formalin bath for 15 min,http://www.fao.org/fishery/culturedspecies/Chanos_chanos/en#tcNA00A2,NA,NA,NA
Oncorhynchus mykiss,White spot,Ichthyophthirius multifilis,Ciliophora,White patches on body; becoming lethargic; attempt to remove parasites by rubbing on side of tank,Formalin bath for surface parasites; copper sulphate for parasites below surface; prevented by fast-flowing water,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D17,NA,NA,NA
Chanos chanos,Anchor worm disease,Lernaea cyprinacea,Copepoda,"Parasite visible on skin, head embedded deep in the tissues of the host; haemorrhages and open wounds at site of infection; weight loss; respiratory difficulties; sluggishness; red areas; ulcers; scale loss; fin damage; scraping and sometimes hanging vertically or belly up; parasite length 5 to 22 mm",KMnO4 bath or 0.8-1.1% NaCl (KMnO4 may be lethal to small fish at dosages required to kill Lernaea),http://www.fao.org/fishery/culturedspecies/Chanos_chanos/en#tcNA00A1,NA,NA,NA
Lates calcarifer,Anchor worm disease,Lernaea cyprinacea,Copepoda,Thin body of female parasite visible on skin with small red ulcer where parasite penetrates skin,Treatment in organophosphate bath,NA,NA,NA,NA
Lateolabrax japonicus,Crustacean infestation,Allela macrotrachelus,Copepoda,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Pagrus auratus,Crustacean infestation,Allela macrotrachelus,Copepoda,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Sebastes schlegelii,Crustacean infestation,Allela macrotrachelus,Copepoda,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Seriola quinqueradiata,Crustacean infestation,Allela macrotrachelus,Copepoda,NA,NA,NA,NA,NA,NA
Chanos chanos,Nematode infestation,Capillaria sp.,Copepoda,"Emaciated, although shows good appetite in early stage, then weakens, becomes listless, loses appetite & colour pattern darkens; fin & tail rot and skin patches/sores; faeces white & stringy/slimy; scrapes belly against bottom or may start to tremble; larval stage of parasite located in muscle tissue & can be seen through skin, appearing either coiled up or rod-like","Administer trichlorfon (with caution for small fish); niclosamide, levamisole or mebendazole mixed in feed",http://www.fao.org/fishery/culturedspecies/Chanos_chanos/en#tcNA00A0,NA,NA,NA
Lates calcarifer,Sea lice,Argulus sp.,Copepoda,Disc-shaped parasite visible on skin; red foci; darkening,Treatment in organophosphate bath,NA,NA,NA,NA
Thunnus maccoyii,Sea lice,Brachiella thynni,Copepoda,NA,NA,NA,NA,NA,NA
Thunnus thynnus,Sea lice,Brachiella thynni,Copepoda,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Sea lice,Caligus balistae,Copepoda,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Sea lice,Caligus bonito,Copepoda,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Salmo salar,Sea lice,Caligus clemensis,Copepoda,Reduced growth; loss of scales; haemorrhaging of eyes and fins,"Paraciticides (bath e.g. Azamethiphos, Cypermethrin, Hydrogen peroxide); in feed (e.g. Emamectin, teflubenzuron)",http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A12,NA,NA,NA
Thunnus thynnus,Sea lice,Caligus coryphaenae,Copepoda,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus maccoyii,Sea lice,Caligus elongatus,Copepoda,NA,NA,NA,NA,NA,NA
Oncorhynchus kisutch,Sea lice,Caligus elongatus,Copepoda,Reduced growth; scale loss; haemorrhaging of eyes & fins,"Paraciticides: bath Azamethiphos, Cypermethrin, hydrogen peroxide; in feed Emamectin, telflubenzuron",http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C11,NA,NA,NA
Salmo salar,Sea lice,Caligus elongatus,Copepoda,Reduced growth; loss of scales; haemorrhaging of eyes and fins,"Paraciticides (bath e.g. Azamethiphos, Cypermethrin, Hydrogen peroxide); in feed (e.g. Emamectin, teflubenzuron)",http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A11,NA,NA,NA
Trachinotus blochii,Sea lice,Caligus epinepheli,Copepoda,NA,NA,"Sea Lice (Copepoda, Caligidae) Parasitic on Carangid Fishes of Taiwan",NA,NA,NA
Oncorhynchus tshawytscha,Sea lice,Caligus longicaudatus,Copepoda,NA,NA,NA,NA,NA,NA
Chanos chanos,Sea lice,Caligus longipedis,Copepoda,Loss of appetite; lethargic swimming; excess mucus production; lumpy body surface,Dip infected fish in freshwater (makes transparent parasite visible); bathe in 150 ppm H2 02 for 30 minutes,http://www.fao.org/fishery/culturedspecies/Chanos_chanos/en#tcNA00A5,NA,NA,NA
Thunnus thynnus,Sea lice,Caligus minimus,Copepoda,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus thynnus,Sea lice,Caligus productus,Copepoda,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Oncorhynchus mykiss,Sea lice,Caligus rogercresseyi,Copepoda,NA,NA,NA,NA,NA,NA
Salmo salar,Sea lice,Caligus rogercresseyi,Copepoda,NA,NA,NA,NA,NA,NA
Mugil cephalus,Sea lice,Caligus sp.,Copepoda,Infestation occurs commonly in the skin,Medicated bath; environmental improvement,NA,NA,NA,http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C11
Sciaenops ocellatus,Sea lice,Copepoda,Copepoda,"Small crustaceans attached to gills, mouth, skin; skin ulcers","Fresh water dip (5-15 min); formalin dip (30 min, 2-4 ml formalin in 10 litres) - not approved for food fish",http://www.fao.org/fishery/culturedspecies/Sciaenops_ocellatus/en#tcNA00D12,NA,NA,NA
Thunnus thynnus,Sea lice,Euryphorus brachypterus,Copepoda,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Siganus rivulatus,Sea lice,Hatschekia siganicola,Copepoda,NA,NA,https://www.cabi.org/ISC/datasheet/64226,NA,NA,NA
Salmo salar,Sea lice,Lepeophtheirus salmonis,Copepoda,Reduced growth; loss of scales; haemorrhaging of eyes and fins,"Paraciticides (bath e.g. Azamethiphos, Cypermethrin, Hydrogen peroxide); in feed (e.g. Emamectin, teflubenzuron)",http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A10,NA,NA,NA
Oncorhynchus kisutch,Sea lice,Lepeophtheirus salmonis,Copepoda,Reduced growth; scale loss; haemorrhaging of eyes & fins,"Paraciticides: bath Azamethiphos, Cypermethrin, hydrogen peroxide; in feed Emamectin, telflubenzuron",http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C11,NA,NA,NA
Salmo salar,Sea lice,Lepeophtheirus salmonis,Copepoda,NA,NA,NA,NA,NA,NA
Pagrus auratus,Sea lice,Naricolax chrysophryenus,Copepoda,NA,NA,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.",NA,NA,NA
Siganus rivulatus,Sea lice,Nothobomolochus neomediterraneus,Copepoda,NA,NA,https://www.cabi.org/ISC/datasheet/64228,NA,NA,NA
Thunnus thynnus,Sea lice,Pennella filosa,Copepoda,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus thynnus,Sea lice,Pseudocynus appendiculatus,Copepoda,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Anaplerurus thynnusi,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Aponurus lagunculus,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Bucephalopsis sibi,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Cardicola forsteri,Digenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus maccoyii,Blood fluke infections,Cardicola forsteri,Digenea,NA,NA,NA,NA,NA,NA
Thunnus thynnus,Blood fluke infections,Coeliodidymocystis abdominalis,Digenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Coeliotrema thynni,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Didymocylindrus filiformis,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Didymocystis crassa,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Didymocystis dissimilis,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Didymocystis katsuwonicola,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Didymocystis ovata,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Didymocystis reniformis,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Didymocystis semiglobularis,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Didymocystis soleiformis,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Didymocystis thynni,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Didymocystis thynni,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Didymocystis wedli,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Didymocystis wedli,Digenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Didymocystoides bifasciatus,Digenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Didymocystoides oesophagicola,Digenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Didymocystoides pectoralis,Digenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Didymocystoides semiglobularis,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
